id,name,gender,year_of_birth,year_of_death,city_of_birth,state_of_birth,city_of_death,state_of_death,url
13793,"Caniaris, Vlassis",M,1928,2011,Athínai,Ellás,Unknown,Unknown,http://www.tate.org.uk/art/artists/vlassis-caniaris-13793
13824,"Turner, Bruce",M,1894,1963,Leeds,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/bruce-turner-13824
13866,"Bäckström, Miriam",F,1967,Unknown,Stockholm,Sverige,Unknown,Unknown,http://www.tate.org.uk/art/artists/miriam-backstrom-13866
13897,"Joreige, Lamia",F,1972,Unknown,Bayrut,Al-Lubnan,Unknown,Unknown,http://www.tate.org.uk/art/artists/lamia-joreige-13897
13899,"Gussin, Graham",M,1960,Unknown,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/graham-gussin-13899
13957,"Grubic, Igor",M,1969,Unknown,Zagreb,Hrvatska,Unknown,Unknown,http://www.tate.org.uk/art/artists/igor-grubic-13957
14097,"Shemza, Anwar Jalal",M,1928,1985,Bharat,Unknown,Stafford,United Kingdom,http://www.tate.org.uk/art/artists/anwar-jalal-shemza-14097
14145,"Peeters, Henk",M,1925,Unknown,s Gravenhage,Nederland,Unknown,Unknown,http://www.tate.org.uk/art/artists/henk-peeters-14145
14153,"Zhang, Enli",M,1965,Unknown,Jilin,Zhonghua,Unknown,Unknown,http://www.tate.org.uk/art/artists/zhang-enli-14153
14213,"Weerasethakul, Apichatpong",M,1970,Unknown,Krung Thep,Prathet Thai,Unknown,Unknown,http://www.tate.org.uk/art/artists/apichatpong-weerasethakul-14213
14306,"Zaccagnini, Carla",F,1973,Unknown,Buenos Aires,Argentina,Unknown,Unknown,http://www.tate.org.uk/art/artists/carla-zaccagnini-14306
14308,"Espinoza, Eugenio",Unknown,1950,Unknown,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308
14311,"Barros, Geraldo de",M,1923,1998,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/geraldo-de-barros-14311
14318,Jess,M,1923,2004,Long Beach,United States,San Francisco,United States,http://www.tate.org.uk/art/artists/jess-14318
14320,"Petlin, Irving",M,1934,Unknown,Chicago,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/irving-petlin-14320
14349,"Robilliard, David",M,1952,1988,Channel Islands,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-robilliard-14349
